project_id,project_name,project_start_date,project_end_date,project_status,project_budget,researcher_id,publication_id
DP1,Evaluasi Obat Anti-Inflamasi Baru,01-01-2020,04-06-2020,selesai,28902000,DR1027,PU2054
DP2,Optimalisasi Proses Produksi Obat Biotech,22-01-2020,20-01-2021,selesai,200484000,DR1018,PU2059
DP3,Penelitian Bioavailabilitas Substansi Aktif,12-02-2020,11-05-2020,sedang berlangsung,94283000,DR1086,PU2084
DP4,Pengembangan Sistem Pemantauan Kesehatan Digital,04-03-2020,04-10-2020,sedang berlangsung,155975000,DR1001,PU2098
DP5,Penelitian Ketahanan Antibiotik,25-03-2020,18-02-2021,sedang berlangsung,197903000,DR1034,PU2041
DP6,Optimasi Formula Dermatologi,15-04-2020,06-03-2021,selesai,187119000,DR1002,PU2035
DP7,Penelitian Bioavailabilitas Substansi Aktif 2,06-05-2020,14-02-2021,selesai,29304000,DR1017,PU2056
DP8,Pengembangan Antibiotik Spektrum Lebar,28-05-2020,20-02-2021,sedang berlangsung,156622000,DR1085,PU2013
DP9,Optimasi Formula Dermatologi 2,18-06-2020,17-09-2020,sedang berlangsung,292506000,DR1011,PU2011
DP10,Penelitian Efektivitas Suplemen Nutrisi,09-07-2020,23-05-2021,sedang berlangsung,156251000,DR1093,PU2052
DP11,Pengembangan Terapi Pengganti Hormon,30-07-2020,18-07-2021,selesai,37303000,DR1053,PU2066
DP12,Optimalisasi Proses Produksi Obat Biotech 2,20-08-2020,25-07-2021,selesai,138445000,DR1059,PU2021
DP13,Penelitian Efektivitas Suplemen Nutrisi 2,10-09-2020,18-04-2021,selesai,65079000,DR1082,PU2081
DP14,Optimasi Formula Dermatologi 3,02-10-2020,28-09-2021,selesai,86102000,DR1011,PU2094
DP15,Studi Klinis Vaksin Influenza,23-10-2020,07-04-2021,selesai,72074000,DR1083,PU2034
DP16,Pengujian Alat Diagnostik Portabel,13-11-2020,29-09-2021,selesai,253522000,DR1003,PU2061
DP17,Analisis Efek Samping Jangka Panjang Obat,04-12-2020,05-02-2021,sedang berlangsung,283309000,DR1083,PU2091
DP18,Pengembangan Antibiotik Spektrum Lebar 2,25-12-2020,01-09-2021,selesai,268514000,DR1000,PU2085
DP19,Pengembangan Terapi Pengganti Hormon 2,15-01-2021,11-03-2021,selesai,3923000,DR1093,PU2060
DP20,Pengembangan Antibiotik Spektrum Lebar 3,06-02-2021,14-05-2021,sedang berlangsung,196244000,DR1085,PU2099
DP21,Pengembangan Terapi Pengganti Hormon 3,27-02-2021,30-03-2021,sedang berlangsung,124078000,DR1051,PU2092
DP22,Optimalisasi Proses Produksi Obat Biotech 3,20-03-2021,14-12-2021,sedang berlangsung,253846000,DR1091,PU2098
DP23,Penelitian Ketahanan Antibiotik 2,10-04-2021,17-02-2022,selesai,291130000,DR1032,PU2091
DP24,Pengembangan Terapi Pengganti Hormon 4,01-05-2021,29-09-2021,selesai,72506000,DR1086,PU2074
DP25,Penelitian Efektivitas Suplemen Nutrisi 3,22-05-2021,28-02-2022,selesai,264982000,DR1084,PU2008
DP26,Pengembangan Sistem Pemantauan Kesehatan Digital 2,12-06-2021,10-06-2022,sedang berlangsung,21438000,DR1099,PU2075
DP27,Analisis Efek Samping Jangka Panjang Obat 2,04-07-2021,26-04-2022,sedang berlangsung,42172000,DR1081,PU2081
DP28,Penelitian Ketahanan Antibiotik 3,25-07-2021,15-01-2022,selesai,296543000,DR1005,PU2027
DP29,Pengujian Alat Diagnostik Portabel 2,15-08-2021,02-12-2021,sedang berlangsung,231488000,DR1011,PU2025
DP30,Optimalisasi Proses Produksi Obat Biotech 4,05-09-2021,02-09-2022,sedang berlangsung,78516000,DR1069,PU2086
DP31,Pengujian Alat Diagnostik Portabel 3,26-09-2021,08-06-2022,sedang berlangsung,150753000,DR1009,PU2036
DP32,Penelitian Bioavailabilitas Substansi Aktif 3,17-10-2021,24-03-2022,sedang berlangsung,276757000,DR1046,PU2014
