project_id,project_name,project_start_date,project_end_date,project_status,project_budget,researcher_id,publication_id
EMP1,Studi Perbandingan Efikasi Analgesik,01-01-2020,04-06-2020,selesai,102019000,EMF1023,EMPUB2012
EMP2,Pengembangan Formula Antihistamin,22-01-2020,20-01-2021,selesai,182223000,EMF1068,EMPUB2090
EMP3,Studi Bioekivalensi untuk Obat Generik,12-02-2020,11-05-2020,sedang berlangsung,80641000,EMF1020,EMPUB2075
EMP4,Penelitian Terapi Stem Cell,04-03-2020,04-10-2020,sedang berlangsung,55310000,EMF1013,EMPUB2025
EMP5,Evaluasi Efektivitas Vaksin Malaria,25-03-2020,18-02-2021,sedang berlangsung,296988000,EMF1056,EMPUB2055
EMP6,Evaluasi Efektivitas Vaksin Malaria,15-04-2020,06-03-2021,selesai,202524000,EMF1029,EMPUB2069
EMP7,Evaluasi Pengobatan Psoriasis,06-05-2020,14-02-2021,selesai,76040000,EMF1028,EMPUB2005
EMP8,Penelitian Terapi Stem Cell,28-05-2020,20-02-2021,sedang berlangsung,218029000,EMF1091,EMPUB2014
EMP9,Pengembangan Formula Antihistamin,18-06-2020,17-09-2020,sedang berlangsung,105837000,EMF1054,EMPUB2087
EMP10,Pengembangan Formula Antihistamin,09-07-2020,23-05-2021,sedang berlangsung,123017000,EMF1028,EMPUB2002
EMP11,Penelitian Penanganan Wabah Virus,30-07-2020,18-07-2021,selesai,207389000,EMF1063,EMPUB2091
EMP12,Studi Stabilitas Obat Baru,20-08-2020,25-07-2021,selesai,237981000,EMF1081,EMPUB2064
EMP13,Penelitian Terapi Stem Cell,10-09-2020,18-04-2021,selesai,164326000,EMF1060,EMPUB2099
EMP14,Evaluasi Efektivitas Vaksin Malaria,02-10-2020,28-09-2021,selesai,39224000,EMF1069,EMPUB2098
EMP15,Studi Perbandingan Efikasi Analgesik,23-10-2020,07-04-2021,selesai,240222000,EMF1083,EMPUB2087
EMP16,Studi Bioekivalensi untuk Obat Generik,13-11-2020,29-09-2021,selesai,204571000,EMF1072,EMPUB2058
EMP17,Pengembangan Antidepresan Generasi Baru,04-12-2020,05-02-2021,sedang berlangsung,276318000,EMF1079,EMPUB2024
EMP18,Studi Perbandingan Efikasi Analgesik,25-12-2020,01-09-2021,selesai,29624000,EMF1048,EMPUB2045
EMP19,Pengembangan Obat Anti-Tuberculosis,15-01-2021,11-03-2021,selesai,16465000,EMF1052,EMPUB2014
EMP20,Penelitian Terapi Stem Cell,06-02-2021,14-05-2021,sedang berlangsung,4852000,EMF1092,EMPUB2077
