project_id,project_name,project_start_date,project_end_date,project_status,project_budget,researcher_id,publication_id,duration
EMP1,Studi Perbandingan Efikasi Analgesik,2020-01-01,2020-04-06,selesai,102019000,EMF1023,EMPUB2012,96 days
EMP2,Pengembangan Formula Antihistamin,2020-01-22,2021-01-20,selesai,182223000,EMF1068,EMPUB2090,364 days
EMP4,Penelitian Terapi Stem Cell,2020-04-03,2020-04-10,sedang berlangsung,55310000,EMF1013,EMPUB2025,7 days
EMP5,Evaluasi Efektivitas Vaksin Malaria,2020-03-25,2021-02-18,sedang berlangsung,296988000,EMF1056,EMPUB2055,330 days
EMP6,Evaluasi Efektivitas Vaksin Malaria,2020-04-15,2021-06-03,selesai,202524000,EMF1029,EMPUB2069,414 days
EMP7,Evaluasi Pengobatan Psoriasis,2020-06-05,2021-02-14,selesai,76040000,EMF1028,EMPUB2005,254 days
EMP8,Penelitian Terapi Stem Cell,2020-05-28,2021-02-20,sedang berlangsung,218029000,EMF1091,EMPUB2014,268 days
EMP9,Pengembangan Formula Antihistamin,2020-06-18,2020-09-17,sedang berlangsung,105837000,EMF1054,EMPUB2087,91 days
EMP10,Pengembangan Formula Antihistamin,2020-09-07,2021-05-23,sedang berlangsung,123017000,EMF1028,EMPUB2002,258 days
EMP11,Penelitian Penanganan Wabah Virus,2020-07-30,2021-07-18,selesai,207389000,EMF1063,EMPUB2091,353 days
EMP12,Studi Stabilitas Obat Baru,2020-08-20,2021-07-25,selesai,237981000,EMF1081,EMPUB2064,339 days
EMP13,Penelitian Terapi Stem Cell,2020-10-09,2021-04-18,selesai,164326000,EMF1060,EMPUB2099,191 days
EMP14,Evaluasi Efektivitas Vaksin Malaria,2020-02-10,2021-09-28,selesai,39224000,EMF1069,EMPUB2098,596 days
EMP15,Studi Perbandingan Efikasi Analgesik,2020-10-23,2021-07-04,selesai,240222000,EMF1083,EMPUB2087,254 days
EMP16,Studi Bioekivalensi untuk Obat Generik,2020-11-13,2021-09-29,selesai,204571000,EMF1072,EMPUB2058,320 days
EMP17,Pengembangan Antidepresan Generasi Baru,2020-04-12,2021-05-02,sedang berlangsung,276318000,EMF1079,EMPUB2024,385 days
EMP18,Studi Perbandingan Efikasi Analgesik,2020-12-25,2021-01-09,selesai,29624000,EMF1048,EMPUB2045,15 days
EMP19,Pengembangan Obat Anti-Tuberculosis,2021-01-15,2021-11-03,selesai,16465000,EMF1052,EMPUB2014,292 days
EMP21,Studi Stabilitas Obat Baru,2021-02-27,2021-03-30,sedang berlangsung,79676000,EMF1092,EMPUB2086,31 days
EMP22,Pengembangan Teknologi Nano dalam Farmasi,2021-03-20,2021-12-14,sedang berlangsung,184837000,EMF1096,EMPUB2032,269 days
EMP23,Pengembangan Obat Anti-Tuberculosis,2021-10-04,2022-02-17,selesai,174324000,EMF1057,EMPUB2091,136 days
EMP24,Penelitian Penggunaan AI dalam Diagnosis,2021-01-05,2021-09-29,selesai,106023000,EMF1094,EMPUB2072,267 days
EMP25,Pengembangan Antidepresan Generasi Baru,2021-05-22,2022-02-28,selesai,267375000,EMF1039,EMPUB2038,282 days
EMP26,Evaluasi Efektivitas Vaksin Malaria,2021-12-06,2022-10-06,sedang berlangsung,77095000,EMF1090,EMPUB2083,304 days
EMP27,Evaluasi Pengobatan Psoriasis,2021-04-07,2022-04-26,sedang berlangsung,36838000,EMF1078,EMPUB2020,384 days
